Neighborhood,SentimentScore,WalkScore,BikeScore,TransitScore,Poverty rate,Total Population,Median Age,60 and over,Car-free commute ,Median Income,Asian alone,Black/African-American,Hispanic,White alone,Commute time to work
BK 01,0.649213079,95.5,82,85,0.34,142098,31.7,0.1,0.77,49120,0.04,0.04,0.34,0.53,35.3
BK 02,1.197659711,97.5,89,100,0.25,115106,34.9,0.1,0.82,74770,0.04,0.42,0.19,0.31,35.7
BK 03,0.740486592,94,79,97,0.36,121054,32.3,0.09,0.73,41480,0.01,0.75,0.19,0.02,44.7
BK 04,0.824053479,95,84,98,0.38,120710,31.3,0.07,0.74,41840,0.03,0.23,0.68,0.03,39.8
BK 06,1.559821485,97.5,92,98,0.14,105555,36.5,0.09,0.82,96420,0.05,0.11,0.24,0.56,37.9
BK 07,1.255750673,95,74,96,0.26,139269,35.5,0.09,0.73,60400,0.22,0.03,0.48,0.23,40.6
BK 08,1.199197324,96,88.5,100,0.28,123117,34.1,0.1,0.79,54580,0.02,0.78,0.1,0.07,45
BK 10,0.925804362,91.5,66.5,87,0.14,119871,39.5,0.16,0.59,78230,0.14,0.01,0.11,0.7,41.2
BK 11,1.415852958,93,58,87,0.2,171778,38.5,0.17,0.63,61850,0.23,0,0.09,0.65,44.9
BK 14,0.750105384,90.5,64,95,0.23,166315,36.1,0.11,0.68,63670,0.08,0.37,0.13,0.38,46
BK 15,2.11413435,90,65,82,0.17,149351,39.8,0.18,0.56,69130,0.12,0.03,0.06,0.76,43.5
MN 02,1.182165535,99.5,95,100,0.1,125567,35.9,0.11,0.86,125890,0.15,0.03,0.06,0.74,24.4
MN 03,1.464683174,98,95,99,0.28,166379,36.8,0.13,0.86,52760,0.35,0.08,0.27,0.28,30.9
MN 07,0.87146606,98,83,100,0.1,192213,42.3,0.13,0.83,120070,0.06,0.09,0.15,0.69,30.3
MN 08,0.856941063,99,81,100,0.07,217063,39.3,0.14,0.78,136440,0.06,0.03,0.06,0.83,30.7
MN 12,0.863654065,96,70,99,0.3,208414,38.5,0.1,0.75,54580,0.02,0.08,0.74,0.14,40.4
QN 01,0.775967956,94,75,86,0.2,205469,35.7,0.11,0.71,66700,0.13,0.1,0.28,0.42,36.2
QN 02,0.890177387,76,57.5,80.5,0.16,130166,36,0.11,0.74,72770,0.3,0.02,0.35,0.3,37.2
QN 03,0.974961793,94,79,91,0.19,181370,37.5,0.1,0.68,70200,0.14,0.1,0.59,0.14,41.3
QN 05,0.682134928,90,65.5,84.5,0.14,167201,38.2,0.14,0.51,74590,0.06,0.01,0.28,0.62,38.4
QN 06,-2.632760733,93.4,62.5,96.5,0.11,113422,43,0.19,0.66,87320,0.21,0.02,0.11,0.62,42.3
QN 07,0.871195726,80,56.5,70,0.13,243690,44.2,0.16,0.42,80040,0.36,0.03,0.17,0.41,40.5
QN 09,2.016815082,91,55,88,0.15,143120,37.6,0.09,0.56,78500,0.16,0.07,0.36,0.29,44.4
QN 14,0.33231218,55,59,71.5,0.22,106738,37.7,0.14,0.44,63490,0.02,0.4,0.18,0.37,45.6